Add Customer Note,Add Customer Note
Note,Note
You can add a note for the customer before approving the agreement.,You can add a note for the customer before approving the agreement.
Save and Continue,Save and Continue
Continue (Don't Add Note),Continue (Don't Add Note)
Active agreement exists for this customer-supplier:,Active agreement exists for this customer-supplier:
Do you want to cancel the existing agreement and approve the new agreement?,Do you want to cancel the existing agreement and approve the new agreement?
Processing...,Processing...
Operation failed,Operation failed
Agreement remained as draft,Agreement remained as draft

